Acaron,NOM_Acaron
Escalon,NPR_Escalon
Grans,NPR_Grans
Grant,NPR_Grant
Lanceloht,NPR_Lanceloht
Lancelot,VER_Lancelot
Or,NPR_Or
Tenebreus,NPR_Tenebreus
Tenebrox,NOM_Tenebrox
a,PRE_a
ce,PRO:invar_ce
conquist,VER_conquerre
contes,NOM_conte
de,PRE_de
dist,VER_dire
dit,VER_dire
et,CON:coord_et
fist,VER_faire|feire|fere
fu,VER_estre
grans,ADJ_grant
il,PRO:pers_il
ioie,NOM_joie|joöe
joie,NOM_joie|joöe
ke,PROCON_que
l',ADV_UNKNOWN
en,PRE_en
l',DET:def_le
onors,NOM_onor
l',DET:def_le
ouneurs,NOM_ouneurs
la,ADV_lö
le,PRO:pers_il
li,PRO:pers_ele|il
on,PRO:invar_on
ou,PROCON_o|oö
que,PROCON_que
