a,VER_avoir
asses,ADV_assez
assez,ADV_assez
autre,ADJ_autre
autres,ADJ_autre
avoit,VER_avoiier|avoir
beles,ADJ_bel
car,CON:coord_car
ce,PRO:invar_ce
comande,VER_comander
commande,VER_quemander
de,PRE_de
descendi,VER_descendre
dont,ADV_donc|dont
en,PRO:clit_en
estoit,VER_ester|estre
et,CON:coord_et
fame,NOM_fame|feme
femme,NOM_feme
gisoit,VER_jesir
hermites,NOM_ermite
i,PRO:clit_i
il,PRO:pers_il
issi,VER_issir
la,ADV_lö
li,PRO:pers_ele|il
mais,CON:coord_mais
maison,NOM_maison|mason
malade,ADJ_malade
mes,DET:poss_mon
meson,NOM_maison
mesons,NOM_maison
mie,ADV_mie
ne,PRO:clit_en
ot,VER_avoir|öir
ou,PREDET:en_en
pas,NOM_pas|past
sa,ADV_UNKNOWN
si,PROCON_si
une,DET:ndf_un
vile,NOM_vile
ville,NOM_vile|vöille
