nel	ADVneg.PROper_il|ne
devriez	VERcjg_devoir
pas	ADVneg_pas|past
lessier	VERinf_laissier
aler	VERinf_aler|foraler
si	ADVgen_si
bel	ADJqua_bel
vaslet	NOMcom_vaslet
come	CONsub_come
ce	PROdem_ce
est	VERcjg_ester|estre
ne	ADVneg_en
devries	VERcjg_devries
vos	PROper_vostre
pas	ADVneg_pas|past
laissier	VERinf_laissier
aler	VERinf_aler|foraler
si	ADVgen_si
bial	ADJqua_bel
vaslet	NOMcom_vaslet
com	CONsub_come
ce	PROdem_ce
est	VERcjg_ester|estre
ne	ADVneg_en
devez	VERcjg_devoir
vos	PROper_vostre
pas	ADVneg_pas|past
lessier	VERinf_laissier
aler	VERinf_aler|foraler
si	ADVgen_si
biau	ADJqua_bel
vallet	NOMcom_vaslet
come	CONsub_come
cist	PROdem_cest
est	VERcjg_ester|estre
ne	ADVneg_en
devriez	VERcjg_devoir
vos	PROper_ous
mie	ADVneg_mie
lessier	VERinf_laissier
aler	VERinf_aler|foraler
si	ADVgen_si
bel	ADJqua_bel
vallet	NOMcom_vaslet
come	CONsub_come
cest	PROdem_cest
est	VERcjg_ester|estre
