mes	CONcoo_UNKNOWN
il	PROper_il
mostre	VERcjg_mostrer
plus	ADVgen_plus
biau	ADJqua_bel
semblant	NOMcom_semblant
que	CONsub_que
li	DETdef_le
cuers	NOMcom_cuer
ne	ADVneg_ni
li	PROper_ele|il
aportoit	VERcjg_aporter
mais	CONcoo_mais
il	PROper_il
monstra	VERcjg_mostrer
plus	ADVgen_plus
bel	ADJqua_bel
samblant	NOMcom_semblant
que	CONsub_que
li	DETdef_le
coers	NOMcom_cuer
ne	ADVneg_ni
li	PROper_ele|il
aportoit	VERcjg_aporter
mais	ADVgen_mais
monstroit	VERcjg_mostrer
il	PROper_il
plus	ADVgen_plus
bel	ADJqua_bel
samblant	NOMcom_semblant
que	CONsub_que
li	DETdef_le
cuers	NOMcom_cuer
ne	ADVneg_ni
li	PROper_ele|il
aportoit	VERcjg_aporter
