Original,Normalised
Pleure,VERcjg_plorer
des,PRE.DETdef_de+le|le
oels,NOMcom_ueil
si,ADVgen_si
escrie,VERcjg_escröer
a,PRE_a
haus,ADJqua_haut
cris,NOMcom_cri
Puis,ADVgen_UNKNOWN
se,PROper_se
regrete,VERcjg_regreter
:,PONfbl_:
«,PONpga_«
Mais,CONcoo_mai
tel,PROind_tel
portai,VERcjg_porter
biaus,ADJqua_bel
fils,NOMcom_fil
Et,CONcoo_avoir
de,PRE_de
ta,DETpos_ton
mere,NOMcom_mere
cam,NOMpro_UNKNOWN
[,PONpga_[
?,PONfrt_?
],PONpdr_]
n',ADVneg_UNKNOWN
en,PROadv_en
eüs,VERcjg_eüs
mercis,NOMcom_merci
Pour,PRE_Pour
toi,PROper_tu
veïr,VERinf_veïr
desiroie,VERcjg_desirrer
Çou,NOMpro_Çou
fu,VERcjg_estre
mervelle,NOMcom_merveille
que,CONsub_que
preciés,ADVgen_preciés
ne,ADVneg_ni
l',PROper_il
em,PROadv_en
prist,VERcjg_prendre|prisier
»,PONpdr_»
En,PRE_en
halte,ADJqua_haut
voiz,NOMcom_voiz
crier,VERinf_cröer
grant,ADJqua_grant
cri,NOMcom_cri
Si,ADVgen_Si
lu,PROper_il
Mar,ADVgen_Mar
te,PROper_tu
bel,ADJqua_bel
filz,NOMcom_fil
Seveals,NOMpro_Seveals
kar,CONcoo_car
aviez,VERcjg_avoir
merci,NOMcom_merci
Ja,ADVgen_Ja
me,PROper_je|moi
veis,VERcjg_aler|vöoir
tu,PROper_tu
desirer,VERinf_desirrer
murir,VERinf_morir
Ad,PRE_avoir
altes,NOMcom_autre
granz,ADJqua_grant
criz,NOMcom_crist
Ço,PROdem_Ço
dist,VERcjg_dire
la,DETdef_le
meire,NOMcom_UNKNOWN
E,CONcoo_avoir|estre
auïsses,VERcjg_auïsses
Par,PRE_Par
tei,PROper_tu
veeies,VERcjg_voir
deseier,NOMcom_UNKNOWN
morir,VERinf_morir
Zo,NOMpro_Zo
est,VERcjg_ester|estre
mervelhe,NOMcom_merveille
ke,CONsub_que
piediez,ADVgen_piediez
ne,ADVneg_en
t',PROper_tu
Pore,NOMcom_povre
oilz,NOMcom_ueil
et,CONcoo_et
gete,VERcjg_geter
mult,ADVgen_mout
grans,ADJqua_grant
Après,PRE_Après
le,PROper_il
Mal,ADVgen_Mal
portei,VERcjg_porter
fiz,NOMcom_fil
aveies,VERcjg_avoir
Por,PRE_Por
veez,VERcjg_vöer|vöoir
desir,NOMcom_desir
merveille,NOMcom_merveille
cum,CONsub_come
jel,PROper.PROper_il|je
puis,VERcjg_pondre|pöoir
sofrir,VERinf_sofrir
Plurent,VERcjg_plorer
oil,NOMcom_oil|öil
e,CONcoo_et
s,VERcjg_se
i,ETR_il|je
jetet,VERcjg_jeter
criz,NOMcom_cri
Sempres,ADVgen_sempre
regret,NOMcom_regret
et,ETR_et
bels,ADJqua_bel
medra,NOMcom_medra
quer,NOMcom_UNKNOWN
mercit,NOMcom_merci
Pur,PRE_Pur
que-m,NOMcom_que-m
vedeies,VERcjg_voir
desirrer,VERinf_desirrer|desirrier
merveile,NOMcom_UNKNOWN
pietet,NOMcom_pietet
