Original,Normalised
Pleure,VERcjg_plorer
des,PRE.DETdef_de+le|le
oels,NOMcom_ueil
si,ADVgen_si
escrie,VERcjg_escröer
a,PRE_a
haus,ADJqua_haut
cris,NOMcom_cri
Puis,ADVgen_UNKNOWN
se,PROper_se
regrete,VERcjg_regreter
Mais,CONcoo_mai
tel,PROind_tel
portai,VERcjg_porter
biaus,ADJqua_bel
fils,NOMcom_fil
Et,CONcoo_avoir
de,PRE_de
ta,DETpos_ton
mere,NOMcom_mere
cam,NOMpro_UNKNOWN
n,ADVneg_en
en,PROadv_en
eüs,VERcjg_eüs
mercis,NOMcom_merci
Pour,PRE_Pour
toi,PROper_tu
veïr,VERinf_veïr
desiroie,VERcjg_desirrer
Çou,NOMpro_Çou
fu,VERcjg_estre
mervelle,NOMcom_merveille
que,CONsub_que
peciés,VERppe_peciés
ne,ADVneg_ni
l,PROper_il
em,PROadv_en
prist,VERcjg_prendre|prisier
E,CONcoo_avoir|estre
lasse,ADJqua_las
comme,CONsub_come
fort,ADJqua_fort
aventure,NOMcom_aventure
Que,PROrel_Que
ci,ADVgen_ci
voi,VERcjg_aler|vöoir
morte,VERppe_morir
toute,DETind_tot
ma,DETpos_mon
noureture,NOMcom_UNKNOWN
Ma,DETpos_Ma
longe,ADJqua_lonc
atente,NOMcom_atente
quel,DETrel_quel
duel,NOMcom_duel
m,PROper_je
est,VERcjg_ester|estre
venue,VERppe_venir
porrai,VERcjg_pöoir
faire,VERinf_faire
dolante,ADJqua_dolent
creature,NOMcom_cröature
En,PRE_en
halte,ADJqua_haut
voiz,NOMcom_voiz
crier,VERinf_cröer
grans,ADJqua_grant
Si,ADVgen_Si
lu,PROper_il
Mar,ADVgen_Mar
te,PROper_tu
bel,ADJqua_bel
fiz,NOMcom_fil
Seveals,NOMpro_Seveals
kar,CONcoo_car
aviez,VERcjg_avoir
merci,NOMcom_merci
Ja,ADVgen_Ja
veis,VERcjg_aler|vöoir
tu,PROper_tu
desirer,VERinf_desirrer
murir,VERinf_morir
Lasse,ADJqua_lasser
maleüree,VERcjg_maleüree
mult,ADVgen_mout
oi,ADVgen_avoir|öir
Ici,ADVgen_Ici
mort,VERppe_mordre
tute,DETind_tot
porteüre,NOMcom_porteüre
lunge,ADJqua_lonc
entente,NOMcom_entente
grant,ADJqua_grant
revenue,VERppe_revenir
Que,CONsub_Que
purra,VERcjg_pouvoir|puir
dolente,ADJqua_dolent
faiture,NOMcom_faiture
Ço,PROdem_Ço
merveille,NOMcom_merveille
li,DETdef_le
miens,ADJpos_mien
cuers,NOMcom_cuer
tant,ADVgen_tant
dure,ADJqua_dur
Ad,PRE_avoir
altes,NOMcom_autre
cri,NOMcom_cri
dist,VERcjg_dire
la,DETdef_le
meire,NOMcom_UNKNOWN
filz,NOMcom_fil
auïsses,VERcjg_auïsses
Par,PRE_Par
tei,PROper_tu
me,PROper_je|moi
veeies,VERcjg_voir
deseier,NOMcom_UNKNOWN
morir,VERinf_morir
Zo,NOMpro_Zo
mervelhe,NOMcom_merveille
ke,PROrel_que
pidiez,VERcjg_UNKNOWN
t,VERinf_tu
pecheable,NOMcom_pecheable
oi,VERcjg_avoir|öir
Kant,NOMpro_chanter
vei,VERcjg_vöoir
tote,DETind_tot
longe,NOMcom_lonc
atende,VERcjg_atendre
Ke,CONsub_Ke
chaitive,ADJqua_chaitif
malfeüe,NOMcom_malfeüe
Milz,ADJqua_mil
venist,VERcjg_venir
certes,ADVgen_certes
ke,CONsub_que
fusse,VERcjg_estre
Plore,VERcjg_plorer
oilz,NOMcom_ueil
et,CONcoo_et
gete,VERcjg_geter
Après,PRE_Après
le,PROper_il
Mal,NOMcom_Mal
portei,VERcjg_porter
aveies,VERcjg_avoir
Por,PRE_Por
veez,VERcjg_vöer|vöoir
desir,NOMcom_desir
cum,CONsub_come
je,PROper_je
puis,VERcjg_pondre|pöoir
sofrir,VERinf_sofrir
Ohi,INJ_UNKNOWN
ai,VERcjg_aidier|avoir
forte,ADJqua_fort
Ci,ADVgen_Ci
Ceo,PROdem_Ceo
mien,ADJpos_mien
cuer,NOMcom_cuer
Plurent,VERcjg_plorer
oil,NOMcom_oil|öil
e,CONcoo_et
jetet,VERcjg_jeter
granz,ADJqua_grant
criz,NOMcom_cri
Sempres,ADVgen_sempre
regretet,VERcjg_regretet
bels,ADJqua_bel
medra,NOMcom_medra
quer,NOMcom_UNKNOWN
mercit,NOMcom_merci
Pur,PRE_Pur
que,PROrel_que
vedeies,VERcjg_voir
desirrer,VERinf_desirrer|desirrier
merveile,NOMcom_UNKNOWN
pietet,NOMcom_pietet
ne,CONcoo_ni
t,NOMcom_tu
A,PRE_avoir
mezre,NOMcom_mezre
Or,ADVgen_Or
jo,PROper_je
lunga,NOMcom_lunga
venude,NOMcom_venude
quei,PROint_coi
malfeüde,NOMcom_malfeüde
meveile,NOMcom_meveile
qui,PROrel_qui
mens,NOMcom_mien
quors,NOMcom_cuer
duret,VERcjg_durer
