Adonc,ADV_adonc
Lors,VER_Lors
a,PRE_a
an,NOM_an
apelee,VER_apeler
armes,NOM_ame
avoit,VER_avoiier
chevalier,NOM_chevalier
coment,ADV_coment
comment,ADV_coment
conte,VER_conter
dame,NOM_dam
de,PRE_de
del,PREDET:de_de+le
des,PREDET:de_de+le
du,PREDET:de_de+le
ele,PRO:pers_ele
elle,PRO:pers_ele
en,PRO:clit_en
este,VER_estre
estoit,VER_ester
et,CON:coord_et
feist,VER_faire
il,PRO:pers_il
l,DET:def_le
la,DET:def_le
lac,NOM_lac
le,DET:def_le
li,PRO:pers_ele
lo,DET:def_le
meismes,ADJ_meisme
merveille,NOM_merveille
mervelle,NOM_merveille
mervoille,NOM_merveille
mout,ADV_mout
mult,ADV_mout
ne,PROCON_ni
non,ADV_ne
pria,VER_priier
qu,PROCON_que
que,PROCON_que
reine,NOM_roine
requis,VER_requerre
robes,NOM_robe
roine,NOM_roine
rois,NOM_roi
s,PROCON_se
se,PROCON_se
ses,DET:poss_son
soes,DET:poss_son
tarde,VER_tarder
trop,ADV_trop
vaslet,NOM_vaslet
voie,NOM_voie
