A,PRE|MORPH=empty_a3
lui,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=i_il
meismes,ADJind|NOMB.=s|GENRE=m|CAS=r_mëisme
se,PROper|NOMB.=s|GENRE=m|CAS=r_soi1
consoille,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_conseillier1
Auquel,NOMcom|NOMB.=s|GENRE=m|CAS=r_auques
d,PRE|MORPH=empty_de
',PONCT_PONCT
aus,PRE.PROper|NOMB.=p|GENRE=m|CAS=r_a3+le
.,PONCT_PONCT
ii,PROcar|NOMB.=p|GENRE=m|CAS=r_dos
.,PONCT_PONCT
il,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=n_il
aidera,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_aidier
Lors,ADVgen|DEGRE=-_lors
dit,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_dire
qu,CONsub|MORPH=empty_que4
',PONCT_PONCT
au,PRE.DETdef|NOMB.=s|GENRE=m|CAS=r_a3+le
lyon,NOMcom|NOMB.=s|GENRE=m|CAS=r_lïon
se,PROper|NOMB.=s|GENRE=m|CAS=r_soi1
tanra,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_tenir1
Qu,CONsub|MORPH=empty_que4
',PONCT_PONCT
a,PRE|MORPH=empty_a3
venimeus,NOMcom|NOMB.=s|GENRE=m|CAS=r_venimos
ne,CONcoo|MORPH=empty_ne2
a,PRE|MORPH=empty_a3
felon,NOMcom|NOMB.=s|GENRE=m|CAS=r_felon
Ne,ADVneg|MORPH=empty_ne1
doit,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_devoir
an,PROind|NOMB.=s|GENRE=n|CAS=n_on
feire,VERinf|MORPH=empty_faire
se,CONsub|MORPH=empty_se
mal,VERcjg|NOMB.=s|GENRE=m|CAS=r_mal1
non,ADVneg|MORPH=empty_non
A,PRE|MORPH=empty_a3
li,DETdef|PERS.=3|NOMB.=s|GENRE=m|CAS=i_le
meisme,ADJind|NOMB.=s|GENRE=m|CAS=n_mëisme
se,PROper|NOMB.=s|GENRE=m|CAS=r_soi1
conselle,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_conseillier1
Alquel,PROind|NOMB.=s|GENRE=m|CAS=r_auques
des,PRE.DETdef|NOMB.=p|GENRE=m|CAS=r_de+le
.,PONCT_PONCT
ii,PROcar|NOMB.=p|GENRE=m|CAS=r_dos
.,PONCT_PONCT
il,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=n_il
aidera,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_aidier
Et,CONcoo|MORPH=empty_et
dist,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_dire
au,PRE.DETdef|NOMB.=s|GENRE=m|CAS=r_a3+le
lion,NOMcom|NOMB.=s|GENRE=m|CAS=r_lïon
se,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=r_soi1
tendra,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_tenir1
Qu,CONsub|MORPH=empty_que4
',PONCT_PONCT
a,PRE|MORPH=empty_a3
venimeus,NOMcom|NOMB.=s|GENRE=m|CAS=r_venimos
et,CONcoo|MORPH=empty_et
a,PRE|MORPH=empty_a3
felon,NOMcom|NOMB.=s|GENRE=m|CAS=r_felon
Ne,ADVneg|MORPH=empty_ne1
doit,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_devoir
l,DETdef|NOMB.=s|GENRE=n|CAS=n_le
',PONCT_PONCT
on,PROind|NOMB.=s|GENRE=n|CAS=n_on
faire,VERinf|MORPH=empty_faire
se,CONsub|MORPH=empty_se
mal,NOMcom|NOMB.=s|GENRE=m|CAS=r_mal1
non,ADVneg|MORPH=empty_non
A,PRE|MORPH=empty_a3
lui,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=i_il
meismes,ADJind|NOMB.=s|GENRE=m|CAS=r_mëisme
se,PROper|NOMB.=s|GENRE=m|CAS=r_soi1
conseille,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_conseillier1
Auquel,PROind|NOMB.=s|GENRE=m|CAS=r_auques
des,PRE.DETdef|NOMB.=p|GENRE=m|CAS=r_de+le
deuz,PROcar|NOMB.=p|GENRE=m|CAS=r_dos
il,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=n_il
aidera,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_aidier
Lor,ADVgen|DEGRE=-_il
dist,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_dire
c,CONsub|MORPH=empty_que4
',PONCT_PONCT
au,PRE.DETdef|NOMB.=s|GENRE=m|CAS=r_a3+le
lyon,NOMcom|NOMB.=s|GENRE=m|CAS=r_lïon
aidera,VERcjg|NOMB.=s|GENRE=f|CAS=r_aidier
Qu,PROint|MORPH=empty_que4
',PONCT_PONCT
a,PRE|MORPH=empty_a3
enuious,VERppe|NOMB.=p|GENRE=m|CAS=r_enoios
et,CONcoo|MORPH=empty_et
a,PRE|MORPH=empty_a3
felon,NOMcom|NOMB.=s|GENRE=m|CAS=r_felon
Ne,ADVneg|MORPH=empty_ne1
doit,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_devoir
on,PROind|NOMB.=s|GENRE=n|CAS=n_on
faire,VERinf|MORPH=empty_faire
se,CONsub|MORPH=empty_se
mal,NOMcom|NOMB.=s|GENRE=m|CAS=r_mal1
non,ADVneg|MORPH=empty_non
A,PRE|MORPH=empty_a3
lui,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=i_il
meismes,ADJind|NOMB.=s|GENRE=m|CAS=r_mëisme
se,PROper|NOMB.=s|GENRE=m|CAS=r_soi1
conseille,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_conseillier1
Auquel,PROind|NOMB.=s|GENRE=m|CAS=r_auques
des,PRE.DETdef|NOMB.=p|GENRE=m|CAS=r_de+le
.,PONCT_PONCT
ii,PROcar|NOMB.=p|GENRE=m|CAS=r_dos
.,PONCT_PONCT
aidera,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_aidier
De,PRE|MORPH=empty_de
la,DETdef|NOMB.=s|GENRE=f|CAS=r_le
part,NOMcom|NOMB.=s|GENRE=f|CAS=r_part1
au,PRE.DETdef|NOMB.=s|GENRE=m|CAS=r_a3+le
lyon,NOMcom|NOMB.=s|GENRE=m|CAS=r_lïon
sera,VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s_estre1
Qu,CONsub|NOMB.=s|GENRE=m|CAS=n_que4
',PONCT_PONCT
a,PRE|MORPH=empty_a3
nul,PROind|NOMB.=s|GENRE=m|CAS=r_nul
mauves,NOMcom|NOMB.=s|GENRE=m|CAS=r_mauvais
ne,CONcoo|MORPH=empty_ne2
a,PRE|MORPH=empty_a3
felon,NOMcom|NOMB.=s|GENRE=m|CAS=r_felon
Ne,ADVneg|MORPH=empty_ne1
doit,VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s_devoir
on,PROind|NOMB.=s|GENRE=n|CAS=n_on
fere,VERinf|MORPH=empty_faire
se,CONsub|MORPH=empty_se
mal,NOMcom|NOMB.=s|GENRE=m|CAS=r_mal1
non,ADVneg|MORPH=empty_non
A,PRE|MORPH=empty_a3
lui,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=i_il
meisme,ADJind|NOMB.=s|GENRE=m|CAS=r_mëisme
se,PROper|PERS.=3|NOMB.=s|GENRE=m|CAS=r_soi1
