Original,Normalised
.,PONfrt_.PON
.ii,ETR_.ii
A,PRE_a
a,PRE_a
a,VERcjg_avoir
a,VERcjg_a
aidera,VERcjg_aidier
al,PRE.DETdef_a+le|le
Alquel,NOMpro_Alquel
an,PRE_en
As,VERcjg_avoir
as,PRE.DETdef_a+le|le
au,PRE.DETdef_a+le|le
Auquel,PRE.PROrel_Auquel
aus,NOMcom_il
c',PROdem_que
C',PROdem_C'
Car,CONcoo_Car
conseille,VERcjg_conseilier|conseiller|conseillier
consele,NOMcom_consule
conselle,VERcjg_conseillier|consellier
consoille,VERcjg_conseillier
d',PRE_de
de,PRE_de
De,PRE_UNKNOWN
des,PRE_de+le|le
des,PRE.DETdef_de+le|le
deuz,NOMcom_deus
dex,ADJcar_dieu
dist,VERcjg_dire
Dist,VERcjg_dire
dit,VERppe_dire
dit,VERcjg_dire
doit,VERcjg_devoir|dire
en,PRE_en
enuious,VERppe_enoios
Et,CONcoo_avoir
et,CONcoo_et
faire,VERinf_faire
feire,VERinf_faire|feire
felon,NOMcom_felon
felons,NOMcom_felon
fera,VERcjg_faire
fere,VERinf_faire|ferir
il,PROper_il
Il,PROper_UNKNOWN
l',DETdef_UNKNOWN
l',PROper_UNKNOWN
la,DETdef_le
le,PROper_il
le,DETdef_le
leon,NOMcom_löon
li,PROper_le
lion,NOMcom_löon
Lor,DETpos_Lor
Lors,ADVgen_Lors
lui,PROper_il|loi
lyon,NOMcom_löon
mal,ADJqua_mal
mauves,NOMcom_mauvais
meisme,ADJind_möisme
meisme,ADJind_meisme|möisme
meismes,ADJind_möismes
n',ADVneg_UNKNOWN
Ne,ADVneg_naistre|nasquir
ne,CONcoo_ni
non,NOMcom_nom
nul,DETind_nul
on,PROind_on
part,NOMcom_part
Q'a,ADVgen_Q'a
q'au,ADJqua_q'au
Qu',CONsub_Qu'
Qu',CONcoo_Qu'
qu',CONsub_que
que,CONsub_que
ques,PROrel.PROper_quel
se,PROper_se
se,CONsub_se
secolra,VERcjg_secolra
secorra,VERcjg_secorre
secoura,VERcjg_secoura
secourra,VERcjg_secorre
sera,VERcjg_estre
soi,PROper_soi
tanra,VERcjg_tenir
tendra,VERcjg_tenir
venimeus,ADJqua_venimos
venimex,NOMcom_venimex
vrinmeus,ADJqua_vrinmeus
